Security,MCD US Equity ,,SBUX US Equity,,YUM US Equity,,CMG US Equity,,QSR US Equity,,YUMC US Equity,,DRI  US Equity,,DPZ  US Equity,,DNKN  US Equity,,WEN US Equity,,CAKE US Equity,
Start Date,40817,,40817,,40817,,40817,,40817,,40817,,40817,,40817,,40817,,2011/10/1,,40817,
End Date,44001,,44001,,44001,,44001,,44001,,44001,,44001,,44001,,44001,,2020/6/19,,44001,
Period,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,
Currency,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,
,,,,,,,,,,,,,,,,,,,,,,
Date,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME
2020/4/3,160.33,5050441,63.05,14676460,63.3,2631594,611.01,859958,33.27,7345905,41.29,2830475,45.48,3640591,328.23,571977,45.82,1974119,13.06,6299487,15.51,2351614
2020/4/2,161.5,4803514,65,18175040,66.05,3399721,630.16,633909,34.81,5640480,42,3355171,44.31,4708158,333.45,772315,48.55,1928212,13.35,10196153,15.1,3520507
2020/4/1,158.17,4668869,62.62,12880408,67.65,3316472,619.36,820132,36.49,4070883,40.99,3219979,46.02,6602873,333.77,1200267,51.25,1298270,13.97,6165868,15.72,3555676
2020/3/31,165.35,4522292,65.74,20109803,68.53,3797442,654.4,847814,40.03,3793363,42.63,2657717,54.46,6169145,324.07,2097316,53.1,1018887,14.88,5547713,17.08,3755980
2020/3/30,168.13,5621669,67.86,14199717,70.67,4274636,639.97,533293,40.27,2716194,42.31,2288147,56.85,4062593,346.75,954409,53.03,1092562,14.97,7415721,16.5,5469068
2020/3/27,164.01,6441366,66.34,18950460,68.53,4000012,635.03,857355,40.53,3391875,42.56,3007260,54.66,6019771,338.74,646226,50.81,1256873,14.07,8961552,16.18,6858610
2020/3/26,167.35,8264901,69.9,21005282,75.75,4876545,661.1,794341,43.63,6507507,45.05,2320076,60.56,4744837,338.51,870958,54.23,2047551,13.95,10686175,19.66,9616736
2020/3/25,162.98,9708701,65.81,22977186,72.87,5180797,649.48,943245,43.87,10248653,44.46,3127187,58.45,7946577,321.45,963111,52.11,2979752,14.42,10945880,18.87,7038281
2020/3/24,161.95,11678383,64.88,28286186,69.66,5277130,664.05,1160105,38.63,6082241,42.9,3388875,53.89,8707565,343.56,881279,51.54,2783873,14.06,8108174,19.22,2894802
2020/3/23,137.1,10660435,56.55,24905790,56.52,4522907,588.71,1286934,32.44,6951765,41.26,4338531,41.03,7799015,323.87,1340560,40.45,3350259,11.42,8200368,15.71,3114604
2020/3/20,148.49,12000042,58.03,28420576,58.08,4407842,566,1751854,32.02,6129723,40.7,5471319,39,8879181,299.95,1802811,39.68,2026892,10.94,11585449,15.84,4615764
2020/3/19,149.5,12773392,61.41,25167423,62.6,4564832,536.15,1414584,29.95,8081551,40.01,3667032,42.42,10989693,323.14,1423157,43.62,2414601,10.66,11777184,20.51,6709609
2020/3/18,137.3,12627575,56.33,28770619,60.69,5693337,465.21,1510088,28.25,7539858,40.76,3515372,34.16,8833558,290,1099200,44.28,2828525,7.47,11923476,20.85,3951241
2020/3/17,147.62,13708246,58.98,25045192,65.49,6169828,524.41,1511829,32.74,7106083,43.94,5347797,41.93,9908460,298.74,1183390,47.98,2803684,10.5,10370528,18.71,3737563
2020/3/16,149.01,9341340,58.59,23354347,69.83,4975745,571.51,1209551,35.56,5987534,41.36,5142108,49.21,4490209,286.32,1089089,51.42,1846529,12.35,6443610,16.91,3123207
2020/3/13,177.13,8042646,69.92,19247179,78.46,3754544,630.36,1089231,45.63,4714628,41.73,3936922,65.32,4062367,316.63,1208638,61.95,2339884,16.8,5048173,23.51,2549290
2020/3/12,170.13,9079339,62.1,25170629,78.45,5271981,603,2080440,42.73,4175369,39.24,4883145,59.17,4079109,317.11,1139154,54.46,2499176,15.62,5172272,21.48,3592664
2020/3/11,188.25,5627804,68.3,17161368,80.97,2783085,646.39,996140,47.8,4263756,41.78,3891705,70.21,3773145,332.66,889533,64.25,1311434,18.02,4773351,25.21,2668588
2020/3/10,199.86,5835234,74.87,18414048,86.78,3464217,701.21,909655,52.57,2587760,43.66,3656171,82.6,2301336,343.95,857107,68.77,1110060,19.81,5206456,28.75,1960782
2020/3/9,186.86,7788507,70.83,15930310,83.7,3776595,657.86,1026425,52.25,4230448,42.93,3359542,77.43,2492466,336.67,1267589,64.76,1510455,18.65,4631071,29.01,2567841
2020/3/6,198.86,6360268,75.34,18080148,89.4,2564288,723.08,840970,55.03,3452949,42.57,3561268,88.15,2449396,336.41,853713,67.4,1430952,19.19,4000374,31.44,2040340
2020/3/5,198.32,4107234,76.19,12545266,90.92,2171635,727.55,844110,53.76,4168106,44.17,2953424,87.95,2700383,333.03,828372,68.23,986579,19.27,3636909,31.52,3133004
2020/3/4,207.02,4260634,79.67,10999608,94.63,2420260,769.76,772866,57.38,2017767,45.23,2556547,95.06,1789170,341.89,740955,69.75,1042110,20.05,5969649,35.81,989717
2020/3/3,199.51,5115171,78.6,12395890,91.31,2431018,736.07,779370,57.11,3305835,44.77,2739108,95.31,1693861,339.47,846735,69.19,980524,19.16,4500699,34.65,1371997
2020/3/2,202.55,6154168,82.38,14258675,92.53,2408925,768.81,869635,59.41,2859398,44.29,3540737,98.8,2405305,347.52,863609,70.65,1328173,19.62,7431703,36.04,1288335
2020/2/28,194.17,11377778,78.43,19120249,89.25,4240703,773.58,1505876,58.5,6123412,43.79,5600405,97.5,2593100,339.46,2077605,66.52,1936508,18.88,8359381,35.63,2057213
2020/2/27,201,6406211,78.29,17120832,92.67,3850397,755.55,1351489,60.09,3449395,43.75,4660840,99.36,3097020,347.86,1090771,69.54,1319024,20.08,4721795,35.1,2285904
2020/2/26,210.1,4191398,80.67,10549302,97.5,3382464,847.29,570927,61.65,3659259,43.51,4135906,107.07,2085431,366.67,1107229,71.55,953536,21.89,6213851,36.68,2238599
2020/2/25,212.1,5053726,82.19,9403953,97.95,2389277,856.01,736121,62.94,3034261,43.81,4149867,111.75,1481562,368.66,2437426,73.7,884915,22.96,5391744,38.82,1400357
2020/2/24,213.52,4219147,84.52,8313643,100.25,1539126,885,662316,64.31,2634914,44.11,3836819,117.89,1177462,363.01,1222306,75.09,818342,23.39,2945794,41.72,1078738
2020/2/21,215.87,2791392,87.36,5801705,103.51,1015261,920.14,302590,65.87,1519311,45.87,2740681,121.1,1372213,371.96,1645309,76.08,524450,23.94,5200640,42.13,1184947
2020/2/20,215.08,2869429,88.6,5969200,103.87,1216256,927.59,362751,66.31,1347158,46.05,3487138,120.68,757396,373.16,5009664,76.34,614639,23.595,1641722,42.25,2548790
2020/2/19,215.63,2229508,90.14,5210834,105.19,1875366,933.84,318240,65.92,1470192,46.04,3243783,120.68,905259,297.1,1175986,75.95,816708,23.31,1419022,40.88,1665979
2020/2/18,216.15,2714047,89.23,5291147,104.03,1934701,927.56,369686,66.15,1395876,44.8,4382035,120.49,1062835,295.78,874676,76.26,583362,23.21,1656271,40.16,865660
2020/2/14,217.09,1720400,89.28,5686868,105.28,1249688,921.94,366822,67.24,1443012,44.85,1988030,121.71,737088,291.6,780625,75.78,472445,22.91,1146089,40.31,437913
2020/2/13,217.42,2853360,89.925,8576615,105.03,1135050,912.95,422876,66.4,2478169,45.01,2966317,122.27,1081069,286.03,520670,76.15,891826,22.91,1640184,39.95,677842
2020/2/12,217.46,2844944,88.57,7747787,105.34,1784248,900.37,397701,66.22,1832294,45.42,3515855,122.45,1150496,281.03,891301,75.38,837062,22.88,2407983,40.13,453377
2020/2/11,215.73,2694622,87.51,5098622,104.05,2234418,890.75,334798,66.41,2133949,43.81,5659127,122.23,1565050,275.75,752393,75.8,851625,22.48,3029149,40.06,559770
2020/2/10,213.21,2318962,87.53,7289281,102.87,1667965,890.51,512118,65.61,5802254,42.41,4177220,121.79,979768,274.85,684755,75.57,679279,22.16,2449129,40.32,587734
2020/2/7,211.61,2421602,86.42,8073908,102.04,2396880,864.22,573695,63.86,2887728,42.71,4549694,120.71,1555404,275.51,1368189,75.46,1147638,21.94,3381272,39.51,451452
2020/2/6,212.87,2903328,86.15,8901403,103.74,3271664,857,689944,63.15,2545527,43.73,3986856,121.5,2089356,279.41,796163,75.03,1907654,21.9,3670536,40.41,375297
2020/2/5,214.37,2911520,87.56,9982673,106.78,1814774,854.01,1034712,63.1,2498100,44.46,2653163,117.48,1700832,278.01,1080602,77.22,1230137,22.28,1802820,40,514614
2020/2/4,214.62,3367933,88.38,9997071,106.71,1595548,884.82,982218,61.69,2581813,44.31,3485685,115.56,1511709,273.4,1057039,78.55,661022,22.37,2253229,38.94,720965
2020/2/3,215.18,3539429,86.01,9092620,106.41,1671046,867.33,458326,60.76,2408906,43.12,3592765,114.92,1343574,270.75,926376,78.56,571151,21.93,1812426,37.93,733196
2020/1/31,213.97,3920820,84.83,11693902,105.77,2117389,866.76,385803,61.01,2245739,43.07,3253472,116.43,1081682,281.75,738273,78.09,616915,21.67,1746191,38.4,709251
2020/1/30,216.18,3560701,85.84,12224941,106.6,1480032,879.95,251226,62.02,1348842,44,3948863,118.21,1336146,282.4,645624,78.41,317139,21.905,1140273,38.99,815517
2020/1/29,214.44,5735460,86.72,17703897,106.63,1401826,879.3,183525,62.82,2610604,45.01,4415928,119.21,1124650,285.47,361521,78.21,675395,22.03,1916406,38.935,659676
2020/1/28,210.39,3855185,88.6,11922396,104.82,1672549,877.82,350755,62.79,2332206,45.05,7403963,117.45,1391838,284.18,328070,78.41,397517,21.79,2411776,38.57,403018
2020/1/27,209.34,3389321,88.73,11066487,104.39,1833905,865.03,259262,63.57,1596399,41.92,7311969,116.38,1133454,282.89,756261,77.37,479965,22.06,2274671,38.48,786080
2020/1/24,211.24,3106346,92.03,7815501,104.98,2268806,869.71,323418,64.24,2417439,44.25,3212201,117.09,1080163,285.1,479082,78.36,408085,22.09,2270580,39.48,561356
2020/1/23,213.42,3378229,93.75,6100777,105.98,2128583,879.84,242063,65.28,1410846,44.68,5444397,117.62,1525137,288.02,518588,78.99,522791,22.2,2428218,39.61,520451
2020/1/22,211.44,2757509,92.53,6157412,106.49,2020788,879.18,259550,65.13,2026306,46.99,4259276,114.98,1423122,285.91,456318,78.73,322326,21.99,2767965,39.09,541145
2020/1/21,211.16,4100505,92.53,7094559,105.6,3494334,870.73,299147,65.3,2329029,46,4229209,114.55,1502803,285.11,625270,78.54,376975,21.66,1834814,39.43,856996
2020/1/17,211.98,3540424,93.62,6962787,105.4,4060364,878.15,361185,64.13,2418106,49.85,1896802,113.52,1050185,286.47,475881,78.61,517114,21.69,1635757,38.84,1067671
2020/1/16,210.85,2726936,92.58,5180320,102.16,1191808,870.24,240382,63.17,3513668,49.63,2101825,113.01,2681665,287.36,494814,78.94,497552,21.51,1639652,40.52,799199
2020/1/15,209.77,3369381,91.54,6145518,101.24,1607118,865.09,278113,62.73,3758748,48.65,1578534,111.29,1511297,288.57,619573,78.4,795092,21.58,1850332,39.28,466144
2020/1/14,207.32,2623410,90.99,5855400,100.72,2024402,859.22,239367,62.77,2055972,48.46,2040825,112.21,2080711,285.12,784036,78.01,959983,21.42,2337984,39.56,787067
2020/1/13,206.51,2784618,91.08,7382968,100.34,1569682,863,304580,62.81,3485002,48.13,1536677,113.25,1517359,284,726219,78.18,645577,21.35,3544662,39.4,460268
2020/1/10,207.27,2336721,90.16,7098085,101.69,1462355,857.77,302038,62.48,2029544,48.8,2505659,114.55,1146069,289.09,933402,77.33,976137,21.615,2968939,39.44,609968
2020/1/9,208.35,5974942,90.53,9450166,102.96,1790110,862.67,457710,62.82,3116203,48.5,1270898,114.39,1906729,288.9,994195,76.99,717592,21.77,1950575,39.74,343030
2020/1/8,205.91,5286482,88.88,7297235,102.15,1521513,856.73,262965,62.41,4818915,48.54,1097589,113.85,1675750,290.56,543019,75.85,487935,21.72,2155514,39.64,490256
2020/1/7,202.63,4054726,87.86,6533541,101.97,1408251,860.08,247075,63.39,3094299,47.93,1154784,112.15,1902025,291.85,511613,75.31,461866,21.955,2382350,39.38,745743
2020/1/6,202.33,4660792,88.13,5409850,101.79,1454130,858.02,405321,63.11,2706336,47.87,1292416,113.12,1595894,293.95,525408,76.11,555240,22.13,2329696,39.71,715919
2020/1/3,200.08,2767663,88.83,4874916,101.85,1145518,865.13,422890,64.44,2806427,48.42,1434177,112.38,1371309,294.67,490812,76.67,517032,22.38,1660117,38.75,612415
2020/1/2,200.79,3554837,89.35,6475843,102.17,1369919,858.19,487299,64.7,8440651,49.13,1968381,112.26,2745683,293.4,500003,76.46,541990,22.34,2359698,38.97,677852
2019/12/31,197.61,2278794,87.92,4116734,100.73,1271045,837.11,282366,63.77,4898363,48.01,953128,109.01,1601009,293.78,518985,75.54,655903,22.21,2055350,38.86,777825
2019/12/30,196.91,2242905,87.44,4656289,100.64,1185804,836.07,211417,63.98,2653690,48.13,1789978,108.96,1478633,293.25,451637,75.16,560656,22.16,2249574,38.8,870825
2019/12/27,198.17,2264927,88.13,4130878,101.9,1130456,836.79,201889,64.52,1804367,48.66,1198714,108.01,1520716,292.31,455823,74.41,473109,22.16,1704661,38.36,865159
2019/12/26,197.06,1810616,88.075,4180261,101.79,1177082,838.6,255380,64.33,1637433,48.55,462876,108.91,1013541,292.24,276112,74.18,312565,22.14,1353056,39.13,902811
2019/12/24,196.67,1152517,88.52,1847770,100.33,656381,828.89,91910,64.3,974288,48.38,349011,108.5,668507,289.64,265121,74.2,241326,22.17,623831,39.05,612313
2019/12/23,196.2,2389543,88.23,4349884,99.81,1205555,828.29,294379,64.3,1211633,48.32,1173530,108.7,1871881,288.27,618655,73.68,434894,22.02,1259514,39.65,1707234
2019/12/20,197.14,6415590,88.46,14271655,100.59,2420163,834.53,363021,64.86,2688536,48.66,2503040,110.24,3928690,292,571702,74.98,1824090,22.26,3449981,39.68,1396202
2019/12/19,197.06,3346806,88.52,6023454,99.82,1808067,833.92,336255,65.01,1643767,47.96,1565204,109.03,5408973,292,1295697,73.54,600242,22.11,2488845,39.48,800042
2019/12/18,195.63,4288485,87.99,5859211,98.74,2657405,826.88,423509,64.83,1552074,47.52,2183360,116.31,1612170,284.32,1127766,73.8,688682,22,1986900,40.01,679552
2019/12/17,196.52,3341019,88.13,7297423,99.62,2298712,832.05,427457,65.16,1711820,47.75,2603644,116.01,1041415,291.75,1045540,74.94,602227,22.37,2524113,40.47,750856
2019/12/16,197.88,3650140,88.78,6706045,100.89,1486010,822.79,267974,65.68,1817610,47.94,1949640,116.02,925891,292.15,756365,74.27,730467,22.11,3526152,39.9,734189
2019/12/13,197.12,2078090,88.67,6718109,100.11,1199213,815.32,299179,66.58,1227334,47.28,1713868,115.58,921019,294.93,450557,74.76,455680,21.835,1883655,39.85,792630
2019/12/12,196.31,3024971,88.21,10293873,99.83,1518889,811.2,375384,66.43,1851116,46.48,2039672,116.27,1054710,296.65,571114,75.5,491864,21.51,2157659,40.19,831864
2019/12/11,194.72,2490694,86.59,4922698,99.44,1675828,822.74,207109,66.29,1668537,45.97,1527468,117.44,995406,293.62,1162342,75.61,632465,21.505,1781490,40.74,734003
2019/12/10,194.95,2470123,86.04,7945126,99.24,1775145,817.73,344271,67.16,5100176,45.16,2866495,118.58,1071640,285.24,1144247,76.22,473164,21.49,2585524,41.5,578353
2019/12/9,194.68,2244059,86.28,7170822,98.98,1802781,827.03,375261,65.98,4426436,45.28,2345207,118.1,1380496,286.37,766451,76.18,398279,21.7,2008047,42.01,614619
2019/12/6,195.35,3608361,86.32,8501814,98.77,1951250,822.48,390457,65.86,1691171,44.79,1603407,119.83,977804,286.57,474591,76.59,549766,21.56,2513563,43.22,610677
2019/12/5,194.21,2820099,84.45,5171388,98.52,2184637,819.73,409417,66.31,1572472,44.73,2153403,118.49,1308376,286.87,674711,76.37,358531,21.5,2219247,42.55,599863
2019/12/4,194.31,2217253,85.4,5940602,99.2,1606164,809.4,477364,65.57,1642530,44.2,1405602,117.95,1069477,286,1307014,76.15,564474,21.43,2760807,42.93,526177
2019/12/3,193.12,4078751,84.82,6077628,99.45,1940998,814.91,419363,65.35,1351871,44.09,2069227,118.47,1322556,284.09,962572,76.39,489079,21.39,3019219,42.76,519953
2019/12/2,195.18,3198902,84.57,6428428,100.56,1412863,813.78,450525,65.55,1286096,44.44,1797438,119.32,997630,294.05,949700,76.42,444968,21.99,3640993,43.94,504639
2019/11/29,194.48,2815480,85.43,3857027,100.67,980621,813.92,271343,65.63,467832,44.52,1332125,118.44,803460,294.3,340904,76.55,263854,21.44,1149028,43.61,241684
2019/11/27,196.3,4136783,85.77,7506564,100.64,2316290,816.75,348319,66.28,1426578,44.1,1293754,117.46,885966,295.33,571772,76.71,494574,21.8,1955800,43.57,744343
2019/11/26,194.01,3879977,84.56,7652316,99.75,4725742,815.84,677981,65.16,3041341,44.49,4432603,117.19,1578446,289.14,1071115,75.3,680231,21.56,2502062,43.51,620564
2019/11/25,191.89,4000371,83.75,5450981,98.01,2056021,786.51,341965,65.12,2087328,43.55,2679211,115.66,894331,293,536448,75.17,576608,21.49,3949898,44.51,608424
2019/11/22,193.14,2418119,83.02,6080782,97.62,1543940,772.61,220634,64.79,2086814,42.28,1761086,114.67,645646,285.76,392016,74.89,564537,20.92,2573977,43.26,455801
2019/11/21,192.35,3509470,82.3,8300483,97.9,2430726,773.46,308865,65.46,1996445,42.14,1262667,113.49,696197,284.05,1068485,74.95,579008,20.35,2763699,42.89,429666
2019/11/20,194.13,3131923,83.6,6251318,98.12,2234030,775.94,347750,66,2795591,42.45,2050760,114.75,908459,288.24,630843,75.84,1332972,20.71,3112314,42.55,793208
2019/11/19,193.44,2910580,83.66,6010423,98.08,2307947,766.78,348597,65.8,1583910,43.27,1887461,113.49,1020863,285.74,491367,76,1325664,20.61,3754126,42.64,583110
2019/11/18,194.28,3421599,84.02,6433068,98.28,2485902,771.31,401199,66.06,2500617,42.7,1589203,113.28,2205549,284.61,832013,76.27,846072,20.46,3308811,43.94,602466
2019/11/15,193.97,2991719,84.21,7537205,98.28,2575750,754.66,340246,66.48,2522511,42.79,1751338,112.6,1256285,281.41,644648,76.29,1191651,20.6,7057214,44.05,800884
2019/11/14,194,3175846,84.38,5287433,98.11,2240548,749.2,427989,67.29,1398689,42.44,2964251,112.47,613438,278.66,512652,75.74,658525,20.91,1991833,43.4,732628
2019/11/13,195,3443994,83.94,7439003,98.38,1906050,753.3,464671,67.78,1506494,42.66,1322279,112.58,897916,279.4,443748,76.54,927196,20.92,2110050,42.66,483791
2019/11/12,193.28,2933091,83.32,8552693,98.34,2267978,757.27,668156,67.16,1289783,42.81,2609738,112.44,931877,277.88,528075,75.57,414020,20.655,1889765,42.54,634010
2019/11/11,192.64,2747002,82.43,5832575,98.83,2348318,743.37,586099,67.5,2086987,43.63,1243237,114.36,921913,280.69,667310,74.61,431415,20.8,1928046,42.4,495691
2019/11/8,193.61,3499866,81.77,7088064,98.9,2365813,731.62,534882,66.54,1158236,43.85,2498354,114.91,988958,280.66,671387,73.42,468808,20.65,3309930,43.06,663878
2019/11/7,193.08,4820241,81.95,7221382,99.66,2632678,737.34,479969,66.28,1313770,43.52,3309870,113.48,926904,282.68,855203,73.41,1386942,20.98,2950532,43.2,966598
2019/11/6,194.18,6473508,82.99,6365267,100.09,4237520,744.31,383601,65.82,1704937,42.64,2857771,112.79,837128,277.82,545173,75.94,391974,20.77,4923568,43.145,1169949
2019/11/5,192.18,10496024,81.89,7054400,97.93,2473973,740.76,832205,65.64,2294882,42.74,3009063,112.77,1150224,276.31,751903,75.12,668207,20.84,3459969,44.92,1232821
2019/11/4,188.66,17662061,82.37,8271187,98.45,3067874,751.77,762651,64.85,2235196,42.06,3200191,110.95,1072509,269.29,835980,75.78,606974,20.56,3185677,43.25,690102
2019/11/1,193.94,4192395,83.21,10658473,99.65,2968558,768.63,394669,65.21,1578780,41.44,3776068,112.17,822776,269.26,535464,76.6,899665,20.725,3765006,41.96,743111
2019/10/31,196.7,4960993,84.56,14008811,101.71,3934105,778.16,293855,65.44,1774347,42.5,3461338,112.27,865102,271.62,733957,78.62,1528322,21.18,2172192,41.79,1019575
2019/10/30,196.89,6332596,84.19,8731291,103.34,9020060,775.52,474347,65.5,2318915,44.02,4410405,112.99,1146652,270.9,705117,73.98,1078169,21.15,1711325,41.7,2136759
2019/10/29,192.62,4454632,84.13,5699093,109.72,2024883,763.82,502428,64.86,3694762,44.21,2311450,113.75,1666076,263.18,1160501,74.4,794628,21.04,1560697,43.78,2028180
2019/10/28,191.78,7711396,83.6,6653357,109.51,2127605,782.61,931300,65.86,5093257,43.51,1841310,111.35,867011,269.46,629718,73.7,477339,20.93,3078029,42.04,1200422
2019/10/25,194.61,4773651,83.38,5235296,109.1,985727,787.87,497929,68.45,3047381,43.57,1327376,112.37,1101958,271.75,1445717,73.9,441551,21.33,1733655,41.97,1199802
2019/10/24,196.02,5006419,83.18,4632619,108.95,1535845,798.34,773551,68.95,2129760,43.14,1370212,110.41,1229166,263.6,852589,74.02,360717,21.315,2403760,40.05,970530
2019/10/23,199.21,7966978,82.74,7186615,109.27,1870872,788.19,1788607,67.9,1649692,42.76,1654716,110.4,1196336,256,622996,74.68,691799,21.46,3784454,40.97,963172
2019/10/22,199.27,10332747,83.46,5806608,110.1,1844626,831.07,1300645,67.51,2107458,43.39,953965,108.82,1193949,258.94,343380,74.49,419153,21.65,4194308,40.25,576562
2019/10/21,209.85,3741843,85.35,5007111,112.31,1267566,851.54,530810,69.35,1093510,44.03,1084336,110.16,1025355,257.52,507543,75.75,440276,21.59,2578381,39.48,829433
2019/10/18,208.5,3521237,86.03,4631218,112.3,1952411,841.48,822646,69.12,1070824,43.82,759657,110.45,1195652,255.7,610106,75.93,604864,21.6,3650322,38.545,708889
2019/10/17,206.85,3354558,86.29,4397738,110.37,1351307,829.07,338496,69.41,1194569,44.07,881141,109.14,1013198,256.45,516778,76.39,504455,21.39,3109464,38.46,714306
2019/10/16,208.3,2910045,86.71,3706830,111.48,1292871,823.25,308081,69.7,1475437,43.83,1670340,110,1154205,255.96,527707,76.77,495574,21.25,4187906,38.4,604473
2019/10/15,207.22,3815888,86.45,4722624,111.3,1795499,826.74,293591,69.37,1543246,44.3,1780667,110.29,1290354,255.73,683624,76.9,505526,20.895,5183394,38.31,476708
2019/10/14,208.38,3098066,86.62,4936604,112.82,1053100,828.13,295129,70.14,1093494,43.2,1295794,110.45,1113644,252.2,542599,76.91,353649,21.15,7789894,37.95,610671
2019/10/11,209.02,3962687,86.36,5621572,114.45,1775467,830.35,450336,71.02,1260971,44.49,1150415,113.04,1430888,257.79,893543,77.7,706229,20.78,12117546,39.07,668994
2019/10/10,211.76,2490729,85.96,4257671,114.33,872438,827.75,404028,71.2,1192169,43.01,1524806,112.03,2225185,254.77,1064785,77.46,681156,19.99,2391745,38.57,654924
2019/10/9,212.83,1758556,85.85,4450259,113.33,973239,827.29,444195,71.18,911443,42.75,1365222,112.47,2035124,248.19,1911005,76.38,815120,20.11,2457705,38.43,736357
2019/10/8,211.11,2565838,84.91,6386914,112.59,1449980,805.88,385082,70.21,1321800,42.51,1181035,113.94,1504678,253.48,6541316,74.34,521948,19.99,3104410,38.49,947267
2019/10/7,211.92,3061220,85.85,4445596,113.69,1016587,814.16,323725,70.71,991833,43.59,1265234,115.79,1210944,242.21,2023823,75.65,421686,20.11,3130764,39.49,925573
2019/10/4,211.69,2226999,85.92,5891718,114.66,1379173,823.93,285841,71.61,1330143,43.82,1053555,116.42,1329782,242.13,911090,77.03,499904,20.69,4170811,39.64,964035
2019/10/3,210.03,3535247,84.67,6061699,113.68,1360806,815.29,523214,71.44,1878322,43.94,1280351,115.45,1800279,243.35,677167,76.56,431650,20.265,3924524,40.69,695627
2019/10/2,206.27,4185866,84.32,10036455,112.67,1475420,809.98,640355,70.67,2298642,43.35,1281940,115.86,2908381,241.75,1000235,76.9,488904,19.92,3683711,40.98,1468367
2019/10/1,209.02,5002976,86.51,6805628,112.89,1061384,828.84,504694,70.84,1776354,44.17,1233495,117.01,1736283,245.77,594352,78.43,484526,20.05,2027583,41.42,840741
2019/9/30,214.71,2496973,88.42,6650433,113.43,1265132,840.47,467695,71.14,1916516,45.43,1629261,118.22,1379076,244.59,772410,79.36,444257,19.98,2710983,41.68,855309
2019/9/27,213.16,2333187,88.37,5988453,112.99,924738,818.83,449516,69.92,2181102,44.95,2560974,116.36,1113041,240.46,396248,78.14,444791,20.005,1934499,40.89,596883
2019/9/26,212.6,3057795,89.8,5531821,112.81,1493120,817.57,328421,71.1,2054953,45.78,1314543,116.44,1219644,239.46,613104,78.56,609780,20.03,2975380,40.85,606575
2019/9/25,212.63,2430656,90.35,5263768,111.51,2413940,819.22,444050,71.62,1802788,45.4,1256557,118.5,1562217,241.45,840751,80.28,486314,20.18,5746547,40.37,722428
2019/9/24,212.02,3092687,89.92,5688165,112.24,3501115,824.49,529859,72.44,2119324,45.02,1510171,117.82,2470447,242.97,831988,80.4,436135,20.19,3797925,40.05,505898
2019/9/23,211.54,3359064,90.81,4943643,113.59,1649201,843.29,604178,72.56,1338096,45.58,1534502,119.19,1541928,246.26,802497,80.7,516719,20.47,3307030,40.09,464922
2019/9/20,209.39,6008065,90.07,11241787,112.3,3302029,834.66,566492,72.59,1818002,44.66,1598222,119.8,1980195,247.62,736086,80.91,803113,20.76,4549668,40.03,959138
2019/9/19,210.52,2614128,91.56,4874742,114.1,970919,832.09,287575,73.9,1510279,45.74,1015786,120.68,4353623,247.01,465183,81.36,323973,20.55,4310569,40.69,896611
2019/9/18,210.43,2547415,90.96,4559657,114.58,2009182,834.97,609810,73.33,1618399,45.67,1124479,127.13,1535022,245,500165,81.21,328275,20.11,3892004,42.44,588213
2019/9/17,209.85,3692802,90.75,6511690,112.8,2116084,825.75,643878,73.95,2357533,46.5,785863,126,1333010,243.54,662610,81.03,408754,20.09,4914224,42.63,564835
2019/9/16,207.4,3437739,89.42,6339236,110.54,1739911,799.87,683477,71.48,2255886,46.53,790947,126.91,1282555,244.79,1064701,80.07,332084,19.56,3249496,43,611699
2019/9/13,209.81,3791827,90.48,6972260,111.36,2477026,787.86,466103,72.61,1234626,46.6,1311329,127.34,1088132,245.05,740777,80.47,416162,19.42,2940986,42.58,684104
2019/9/12,212.15,3439063,92.06,6862165,113.27,1968458,805.45,370990,73.32,2253544,47.91,1734903,126.06,1044756,246.79,735814,80.37,399946,19.65,3956027,42.16,965864
2019/9/11,210.2,3393286,90.98,8406555,113.8,1979905,799.21,619303,72.16,1823331,46.34,1523092,127.2,977326,249.09,749282,80.09,471872,19.62,5154925,43.31,774433
2019/9/10,209.68,6407631,90.35,12490898,115.27,1889125,787.98,1176932,71.8,3717552,45.95,2251988,126.95,1048957,243.57,666784,79.55,992463,19.71,17234282,43.29,874124
2019/9/9,217.26,2569578,94.16,6523299,117.81,1758609,839.65,583131,74.88,4947781,45.67,1210873,127.57,1166557,239.2,766897,80.29,720050,21.95,3203814,42.01,1197669
2019/9/6,220.03,1976463,95.74,3991773,119.21,1669908,836.32,275039,75.55,6442305,45.8,1226184,125.48,1812420,237.35,1057587,82.09,502770,22.38,2369104,39.98,903562
2019/9/5,219.49,2752112,95.56,5514796,118.16,1375125,838.11,328977,75.04,4228240,46.11,1598272,124.06,1020000,244.83,1116480,83.15,496123,22.79,2254283,39.64,709101
